cfg,id,providers_jsd,providers_decision,Delta_norm,Delta_decision,n_frag
omit_DP3,Q0135,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0071,0.1427349636447312,alert,11.119254310907403,alert,3
omit_DP3,Q0098,0.12956647479975522,alert,37860000000.0,alert,4
omit_DP3,Q0107,0.12956647479975522,alert,15630000000.0,alert,4
omit_DP3,Q0097,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0134,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0133,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0164,,no_data,15.8747199372533,alert,0
omit_DP3,Q0063,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0103,0.12956647479975522,alert,15619999999.999998,alert,4
omit_DP3,Q0179,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0110,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0079,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0151,,no_data,15.8747199372533,alert,0
omit_DP3,Q0117,0.12956647479975522,alert,15619999999.999998,alert,4
omit_DP3,Q0067,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0085,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0173,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0160,0.1427349636447312,alert,11.119254310907403,alert,3
omit_DP3,Q0101,0.12956647479975522,alert,15640000000.0,alert,4
omit_DP3,Q0084,0.32154289716587525,alert,20.707602168924655,alert,2
omit_DP3,Q0126,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0124,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0083,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0137,0.12956647479975522,alert,16350000000.0,alert,4
omit_DP3,Q0116,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0120,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0099,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0121,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0095,0.12956647479975522,alert,15630000000.0,alert,4
omit_DP3,Q0128,0.12956647479975522,alert,5509999999.999999,alert,4
omit_DP3,Q0100,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0127,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0111,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0102,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0113,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0082,0.12956647479975522,alert,19520000000.0,alert,4
omit_DP3,Q0141,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0087,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0131,0.32154289716587525,alert,20.707602168924655,alert,2
omit_DP3,Q0139,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0062,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0068,0.12956647479975522,alert,15630000000.0,alert,4
omit_DP3,Q0169,0.12956647479975522,alert,8.225782249163373,alert,4
